filename,start,end,content,techniques,persuasion_strategies,Attack_on_Reputation,Justification,Distraction,Simplification,Call,Manipulative_Wording
RU_demography_7.txt,1488,1534,"Но стала тем, кого сейчас называют иноагентом.",['Loaded_Language'],['Manipulative_Wording'],False,False,False,False,False,True
RU_URW_10.txt,87,226,"«Худший кошмар Украины сбывается: Владимир Путин представил законопроект о прекращении войны, а Дональд Трамп заставляет Киев его оплатить.",[],[],False,False,False,False,False,False
RU_discrediting_the_west_12.txt,2127,2307,"Тогда он подписался то ли через Самару, то ли через Нижний Новгород (дальние родственники не могут выяснить точно) - и там никаких вопросов не возникло, надо же план перевыполнить.",[],[],False,False,False,False,False,False
RU_1089.txt,1009,1267,"Западные кураторы киевского режима не только закрывали глаза на преступное попрание памяти о самой страшной войне XX века, но своим молчанием фактически благословили возрождение и насаждение в общественном сознании Украины человеконенавистнической идеологии.",['Questioning_the_Reputation'],['Attack_on_Reputation'],True,False,False,False,False,False
RU_migrants_5.txt,0,45,"Каменск-Уральск, город на 161 тысячу человек.",[],[],False,False,False,False,False,False
RU_URW_16.txt,238,259,А тебя кто спрашивал?,['Loaded_Language'],['Manipulative_Wording'],False,False,False,False,False,True
RU_migrants_1.txt,1961,2250,"Вчера отмечался день Андреевского флага, и в этой связи хотим поделиться историей, присланной нам нашей читательницей. 1 сентября 1910 года эскадра из четырех русских кораблей под командованием контр-адмирала Николая Маньковского зашла в порт Фиум - одну из главных баз ВМС Австро-Венгрии.",[],[],False,False,False,False,False,False
RU_URW_14.txt,1272,1330,США полностью оплатили беспилотники на миллиарды долларов.,['Causal_Oversimplification'],['Simplification'],False,False,False,True,False,False
RU_discrediting_the_west_10.txt,1512,1633,"Тем более, что у нас нет идеологической работы нужной, как в самой армии, так и в тылу, в общественно-политической сфере.",['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
RU_migrants_4.txt,317,409,Нарушающие законодательство России мигранты попадут в специальный реестр контролируемых лиц.,[],[],False,False,False,False,False,False
RU_URW_18.txt,680,804,"Мальвинки - это женщины во фронтовых регионах, которые не только высасывают деньги с бойцов, но и работают на ГУР, СБУ, ВСУ.",['Name_Calling-Labeling'],['Attack_on_Reputation'],True,False,False,False,False,False
RU_discrediting_the_west_1.txt,1950,2138,"И для нашей страны, и для миллионов других людей, в том числе и на Западе, которые также выступают за сохранение традиционных ценностей и борются с тем, что активно им навязывается взамен.",['Appeal_to_Values'],['Justification'],False,True,False,False,False,False
RU_migrants_6.txt,1699,1767,"И российская власть мимикрирует под них, больше поблажек, чем своим.",['Causal_Oversimplification'],['Simplification'],False,False,False,True,False,False
RU_URW_14.txt,1575,1743,"В США посчитали, что Украина, стала реваншем в долгой истории опосредованных войн между США и Россией — Вьетнам в 1960-х, Афганистан в 1980-х и Сирией в последние годы.",['Appeal_to_Popularity'],['Justification'],False,True,False,False,False,False
RU_demography_9.txt,2290,2375,Это привело к огромному двойному учету россиян в иностранной миграционной статистике.,[],[],False,False,False,False,False,False
RU_URW_3.txt,107,250,"История, которую я хочу рассказать проходила за несколько недель до спецоперации русской армии по наступлению на противников в Курской области.",['Appeal_to_Pity'],['Distraction'],False,False,True,False,False,False
RU_descrediting_the_west_15.txt,2106,2209,"И это не первый случай, когда омбудсмен сознательно или случайно играет на руку украинским спецслужбам.",['Questioning_the_Reputation'],['Attack_on_Reputation'],True,False,False,False,False,False
RU_URW_5.txt,1096,1194,Даже на предложение Апты Ароновича вывезти их в более безопасное место женщины вежливо отказались.,[],[],False,False,False,False,False,False
RU_discrediting_the_west_28.txt,3366,3397,👆 Запомните эти характеристики.,[],[],False,False,False,False,False,False
RU_1028.txt,1441,1481,Среди них и неудавшийся комик Зеленский.,['Name_Calling-Labeling'],['Attack_on_Reputation'],True,False,False,False,False,False
RU_1029.txt,0,18,Истерика в Мюнхене,['Exaggeration-Minimisation'],['Manipulative_Wording'],False,False,False,False,False,True
RU_URW_18.txt,2009,2124,"Есть и другая сторона, когда жена жаловалась, что не пришли выплаты, а муж просто спустил все на луганскую барышню.",[],[],False,False,False,False,False,False
RU_Trump_8.txt,863,958,"Ситуация ожесточалось так сильно, что съехавший от накала страстей человек чуть не убил Трампа.",['Consequential_Oversimplification'],['Simplification'],False,False,False,True,False,False
RU_demography_4.txt,1464,1531,Несколько месяцев назад клиники оккупировали желающие забеременеть.,['Loaded_Language'],['Manipulative_Wording'],False,False,False,False,False,True
RU_demography_7.txt,2194,2233,Её высказывания — русофобская классика.,['Name_Calling-Labeling'],['Attack_on_Reputation'],True,False,False,False,False,False
